state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,ref_scheme_type_surface_flow_name,ref_scheme_type_surface_lift_name,ref_scheme_owner_name,total_owners_holding,ref_scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,ref_selection_id_located_in_major_medium_scheme_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_id_under_utilisation_name,ref_reason_for_under_utilisation_name,scheme_designed_storage,ref_filled_up_storage_name,ref_filled_up_storage_space_name,villages_covered,s_no_scheme_within_village_in_water_body,total_no_of_schemes_in_village_above_water_body
UTTARAKHAND,UTTARKASHI,PUROLA,HUDOLI,3,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200270,168500,0,NA,NA,200270,0,Permanently Not in use,5,NA,Due to other reasons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,3.45,3.45,1.15,0,0,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,UTTARKASHI,PUROLA,SHRIKOAT,1,NA,On Tanks/Ponds/Reservoirs/check dams,Govt. Owned,NA,NA,NA,Up to 2013-2014,4000000,800000,0,NA,NA,4000000,800000,In-Use,NA,NA,NA,Surface pipe,Others,Others,0,25,24,10,15,10,6,5,4,Yes,NA,NA,No,9,6.05,3.1,0,0,9.15,6.05,3.1,0,0,9.15,No,NA,15,Upto 3/4,Usually filled up,1,NA,NA
UTTARAKHAND,PITHORGARH,MUNSIYARI,CHARTI ARARI,2,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,190000,0,NA,NA,200000,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca), Centrifugal Pump,Others,5,50,45,30,25,8,7,4,4,Yes,NA,NA,No,12,7.2,8.4,0,2.4,18,6,7.2,0,1.2,14.4,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,NANITAL,RAMGARH,KOON,1,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,100000,0,NA,NA,0,0,Permanently Not in use,3,NA,Dried up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,12,6,4,2,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,ALMORA,BHIKIASAIN,NAULA,1,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,80000,0,NA,NA,0,80000,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca), Centrifugal Pump,Electric,20,35,37,0,0,8,8,NA,NA,Yes,NA,NA,No,6,6,6,0,0,12,6,6,0,0,12,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,PITHORGARH,MUNSIYARI,SIRTOLA,1,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,148000,0,NA,NA,200000,0,Temporarily Not in use,1,Breakdown of channels,NA,Open Water Channel (lined / Pucca), Centrifugal Pump,Others,4.8,40,30,15,15,5,5,4,4,Yes,NA,NA,No,6,3.6,4.2,0,1.2,9,1,1.2,0,0.3,2.5,NA,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,UDHAM SINGH NAGAR,RUDRAPUR,GHAGHA,1,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,32500,15000,1250,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,10,25,25,20,20,8,8,8,8,Yes,NA,NA,No,100,100,100,0,3,203,100,100,0,3,203,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,UDHAM SINGH NAGAR,RUDRAPUR,PIPLIYA,1,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,32500,12500,1200,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,10,24,25,18,20,8,8,10,15,Yes,NA,NA,No,65,65,65,0,0,130,65,65,0,0,130,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,UDHAM SINGH NAGAR,RUDRAPUR, BAHEDI,1,NA,On-drain/canal,Govt. Owned,NA,NA,NA,Up to 2013-2014,28500,15000,1250,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,10,20,20,10,15,12,15,15,15,Yes,NA,NA,No,90,90,90,0,3,183,90,90,0,3,183,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,PATI,Kanwar,2,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,Permanently Not in use,5,NA,Dried up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,8,6,5,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
